	HG38.seqnames	HG38.start	HG38.end	HG38.strand
169	chr19	30267028	30267029	+
170	chr7	27143817	27143818	+
171	chr1	243476183	243476232	+
172	chr7	27103061	27103062	-
173	chr20	11919762	11919763	+
174	chr9	123608264	123608265	-
175	chr17	48623105	48623106	-
176	chr22	42289930	42289931	-
177	chr1	218163003	218163004	+
178	chr9	10615210	10615211	+
179	chr6	98498572	98498573	+
180	chr5	138662095	138662096	+
181	chr1	38039510	38039511	-
182	chr19	30370966	30370967	+
183	chr4	153950826	153950827	+
184	chr6	156791508	156791509	+
185	chr17	36979385	36979434	+
186	chr17	37233162	37233211	-
187	chr5	168126794	168126795	+
188	chr4	110617670	110617671	-
189	chr9	37251827	37251828	+
190	chr20	20199831	20199832	+
191	chr2	71560694	71560695	+
192	chr2	199310098	199310099	-
193	chr7	35332249	35332250	+
194	chr9	136012869	136012870	-
195	chr1	44505854	44505855	+
196	chr6	98014326	98014327	+
197	chr11	115176794	115176795	-
198	chr15	96323921	96323922	-
199	chr3	89025439	89025440	-
200	chr17	40094089	40094090	-
201	chr1	16393287	16393288	+
202	chr7	27140300	27140301	+
203	chr5	77847750	77847751	-
204	chr10	76723761	76723762	-
205	chr5	68730843	68730844	-
206	chr9	37324382	37324383	+
207	chr10	64082241	64082242	+
208	chr12	115370795	115370796	+
209	chr15	69664874	69664875	+
210	chr6	51725674	51725675	-
211	chr18	32626168	32626169	+
212	chr10	101088163	101088164	-
213	chr9	124330158	124330159	+
214	chr11	64632910	64632911	-
215	chr12	53983283	53983284	-
216	chr12	54053812	54053813	+
217	chr12	111209942	111209943	+
218	chr15	95329542	95329543	+
219	chr17	49528265	49528266	-
220	chr1	47412681	47412682	+
221	chr14	68790104	68790105	-
222	chr10	100767762	100767763	+
223	chr2	27378873	27378874	-
224	chr17	36702041	36702090	-
225	chr5	138875324	138875325	+
226	chr2	7595403	7595404	+
227	chr8	37184305	37184306	+
228	chr9	37324330	37324331	+
229	chr4	108141462	108141463	-
230	chr9	16427902	16427903	-
231	chr1	36935677	36935678	-
232	chr1	118986401	118986402	-
233	chr7	81743436	81743437	-
234	chr9	106883288	106883289	+
235	chr6	42263464	42263465	-
236	chr8	103819299	103819300	+
237	chr1	62978835	62978836	-
238	chr1	155016382	155016383	+
239	chr9	37324809	37324810	+
240	chr1	243476144	243476193	-
241	chr7	27144024	27144025	+
242	chr2	86038728	86038729	-
243	chr20	42897077	42897078	-
244	chr17	56578116	56578117	+
245	chr10	8554504	8554505	-
246	chr10	97001323	97001324	-
247	chr18	46460595	46460596	+
248	chr1	115925067	115925068	+
249	chr2	120348001	120348002	+
250	chr1	96416952	96416953	+
251	chr14	87152784	87152785	+
252	chr1	40235930	40235931	+
253	chr11	95778868	95778869	-
254	chr11	8658922	8658923	-
255	chr2	101859752	101859753	+
256	chr9	79800153	79800154	+
257	chr6	6002394	6002395	-
258	chr14	24310969	24311018	-
259	chr17	81417652	81417653	+
260	chr8	21264225	21264226	-
261	chr17	81391007	81391008	-
262	chr15	96627092	96627093	+
263	chr15	96337583	96337584	+
264	chr17	29006468	29006469	+
265	chr18	32868597	32868598	+
266	chr2	156326973	156326974	-
267	chr2	163613699	163613700	-
268	chr12	54053848	54053849	+
269	chr8	9963384	9963433	+
270	chr5	171667928	171667929	-
271	chr8	26037478	26037479	-
272	chr1	151710378	151710379	-
273	chr1	44409594	44409595	+
274	chr14	75237599	75237600	-
275	chr5	141854248	141854249	-
276	chr12	54054095	54054096	+
277	chr16	55264970	55264971	-
278	chr12	113766326	113766327	-
279	chr5	174734363	174734364	+
280	chr19	41926867	41926868	+
281	chr17	48550832	48550833	-
282	chr7	27099078	27099079	+
283	chr12	81440036	81440037	-
284	chr17	40179954	40179955	+
285	chr11	125304333	125304334	+
286	chr7	100883116	100883117	+
287	chr7	27101520	27101521	-
288	chr11	64925885	64925886	+
289	chr7	27143727	27143728	+
290	chr2	60298502	60298503	-
291	chr2	144183937	144183986	-
292	chr17	63957197	63957198	-
293	chr2	59026340	59026341	+
294	chr5	81908500	81908501	+
295	chr11	60951237	60951238	-
296	chr14	76134517	76134518	-
297	chr11	13881452	13881453	-
298	chr2	147512452	147512501	+
299	chr10	129844834	129844835	-
300	chr17	73775248	73775249	-
301	chr16	86578330	86578331	+
302	chr3	184761078	184761079	-
303	chr2	147198688	147198689	+
304	chr19	13017102	13017103	+
305	chr1	215718524	215718525	-
306	chr12	5437300	5437301	+
307	chr5	77850995	77850996	-
308	chr7	27103081	27103082	-
309	chr14	89494228	89494229	-
310	chr14	98137670	98137671	+
311	chr12	106247043	106247044	-
312	chr2	60545226	60545227	-
313	chr2	205776392	205776393	+
314	chr14	61080913	61080914	+
315	chr10	100811054	100811055	+
316	chr9	2159889	2159890	+
317	chr7	115495021	115495022	+
318	chr4	144562387	144562388	-
319	chr13	71621485	71621486	-
320	chr6	156953767	156953768	+
321	chr17	42669918	42669919	-
322	chr7	27144071	27144072	+
323	chr13	94967006	94967007	-
324	chr6	38320969	38320970	-
325	chr19	41926853	41926854	+
326	chr10	117554784	117554785	+
327	chr1	217403211	217403212	-
328	chr9	126217465	126217466	-
329	chr17	45136532	45136533	+
330	chr5	32403925	32403926	-
331	chr22	35749998	35750047	+
332	chr11	114245781	114245782	+
333	chr2	144465940	144465941	-
334	chr19	5256113	5256114	-
335	chr15	37046036	37046037	-
336	chr9	89001359	89001360	+
337	chr15	89444864	89444865	-
338	chr17	48600557	48600558	-
339	chr2	199310288	199310289	-
340	chr4	99652985	99652986	-
341	chr14	80378688	80378689	+
342	chr16	89044661	89044662	-
343	chr2	42444416	42444417	-
344	chr14	89494162	89494163	-
345	chr2	221295891	221295892	-
346	chr7	70071665	70071666	+
347	chr1	47510384	47510385	-
348	chr11	15896331	15896332	+
349	chr5	168126785	168126786	+
350	chr16	89044642	89044643	-
351	chr7	27533705	27533706	-
352	chr1	27601203	27601204	-
353	chr21	16534483	16534484	+
354	chr2	71926232	71926233	-
355	chr9	37251668	37251669	+
356	chr6	99185676	99185677	+
357	chr7	70572925	70572926	+
358	chr5	52599521	52599522	-
359	chr22	35749985	35750034	+
360	chr7	41967842	41967843	-
361	chr17	38729712	38729761	+
362	chr7	50293962	50293963	+
363	chr2	67054990	67054991	+
